position,instance_id,repo,difficulty,version,resolved,score,resolution_status,num_turns,action_count,main_turn,traj_num,session_time_s,env_init_time_s,main_len,total_token,summary_count,finish_accepted,stop_reason,f2p_success_count,f2p_failure_count,f2p_total,p2p_success_count,p2p_failure_count,p2p_total,generation_requests,generation_responses,prompt_tokens_mean,prompt_tokens_max,prompt_tokens_sum,response_chars_sum,summary_due_events,summary_created_events,event_span_s
1,django__django-13346,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,19,14,15,2,623.2412896156311,24,10236,43232,1,1,finish_accepted,0,2,2,65,0,65,15,15,12642.8,25270,189642,38608,1,1,667.4453403949738
2,django__django-13012,django/django,15 min - 1 hour,3.2,True,1.0,RESOLVED_FULL,38,18,38,1,332.4300365447998,23,17788,24296,0,0,no_finish,2,0,2,137,0,137,18,18,17259.88888888889,24081,310678,21336,0,0,374.4494516849518
3,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,15 min - 1 hour,4.3,True,1.0,RESOLVED_FULL,15,16,24,2,353.00634813308716,189,24425,54314,1,0,no_finish,1,0,1,24,0,24,17,17,19880.117647058825,30596,337962,21303,2,1,562.3637223243713
4,pytest-dev__pytest-7432,pytest-dev/pytest,<15 min fix,5.4,False,0.0,RESOLVED_NO,34,16,34,1,256.0458300113678,176,10780,17156,0,1,finish_accepted,0,1,1,77,0,77,16,16,12478.0,16420,199648,14812,0,0,449.76586174964905
5,scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,15 min - 1 hour,0.22,False,0.0,NO_REPORT,23,18,20,2,325.4175543785095,279,6179,34477,1,0,no_finish,0,0,0,0,0,0,19,19,11999.631578947368,27297,227993,19250,1,1,1206.6412844657898
6,django__django-14631,django/django,1-4 hours,4.0,False,0.0,RESOLVED_NO,34,16,34,1,327.1399133205414,24,20554,27019,0,1,finish_accepted,0,2,2,117,0,117,16,16,17477.125,26738,279634,20662,0,0,369.5271887779236
7,django__django-16877,django/django,15 min - 1 hour,5.0,False,0.0,RESOLVED_PARTIAL,34,16,34,1,270.2281539440155,23,14101,20355,0,1,finish_accepted,2,2,4,0,0,0,16,16,13571.0,19634,217136,15416,0,0,312.5297021865845
8,pydata__xarray-3305,pydata/xarray,15 min - 1 hour,0.12,False,0.0,RESOLVED_NO,34,16,34,1,224.48819184303284,521,16401,23228,0,1,finish_accepted,0,1,1,653,0,653,16,16,17202.125,23224,275234,12297,0,0,790.4455935955048
9,sympy__sympy-18199,sympy/sympy,1-4 hours,1.6,False,0.0,RESOLVED_NO,34,16,34,1,204.51309728622437,215,16745,22999,0,1,finish_accepted,0,1,1,113,0,113,16,16,15962.6875,23001,255403,9956,0,0,527.7214050292969
10,django__django-11179,django/django,<15 min fix,3.0,True,1.0,RESOLVED_FULL,34,16,34,1,371.13038873672485,31,19754,25977,0,1,finish_accepted,1,0,1,40,0,40,16,16,20018.625,25696,320298,21932,0,0,431.38279843330383
